repo,orig_master,forced_master
prqa-plugin,a7df762,a7df762
publish-over-cifs-plugin,5740aec,b079339
puppet-jenkins,b0b5f5e,7070b69
radiatorview-plugin,ceb0d34,8b0b3a4
rapiddeploy-plugin,c02347c,20b6b10
release-plugin,b45ef23,6e0e47a
repo-plugin,42bc86d,31f9929
rich-text-publisher-plugin,71c57d1,e54a7c9
robot-plugin,8974d0c,614942a
run-condition-plugin,357f146,cc194ec
rvm-plugin,80bcae9,80bcae9
scm2job-plugin,22ce13e,22ce13e
scm-api-plugin,e10763d,e10763d
scoring-load-balancer-plugin,634609e,634609e
script-scm-plugin,42e29d3,cd96e7f
selenium-axis-plugin,bfa4377,1ccd9a8
selenium-builder-plugin,35a73ad,0387d9c
selenium-tests,b7a7de1,b7a7de1
skype-im-plugin,12dfa79,12dfa79
skytap-cloud-plugin,5671432,679b871
smartfrog-plugin,f6808ab,3783fbc
sms-plugin,97fb324,233faec
sounds-plugin,cd32e83,e19b5ea
ssh-agent-plugin,651d786,651d786
ssh-credentials-plugin,6f6837d,6f6837d
sshd-module,c18c8c1,96c25a4
ssh-slaves-plugin,be4fed6,be4fed6
starteam-plugin,7002128,61a4ecb
stashnotifier-plugin,59e9cb0,59e9cb0
subversion-plugin,b5cd303,b5cd303
suppress-stack-trace-plugin,b6c7df3,dea27c5
swarm-plugin,5335494,5335494
synergy_scm-plugin,581db69,39e8883
tap-plugin,e5c61ff,bb0f9d1
teamconcert-plugin,90bf254,dd788fc
testlink-plugin,344c91d,252bd40
tfs-plugin,f61f3fc,12b7198
thin-backup-plugin,0900a7b,7e364ee
throttle-concurrent-builds-plugin,1bc16cd,e62f6b1
tikal-multijob-plugin,9c94ebb,f9336d9
timestamper-plugin,ce1121b,4ec6bac
token-macro-plugin,bdad176,c086661
transifex-plugin,3f01925,3f01925
translation-plugin,8d8b7d9,3db2f34
trilead-ssh2,a1be0fa,531c18a
unity3d-plugin,f10a954,b98a066
veracode-scanner-plugin,a4628f1,c61e91f
view-job-filters-plugin,6f27fa9,3018aad
virtualbox-plugin,eaec184,a3a219b
vsphere-cloud-plugin,447894e,ae67fd4
vstestrunner-plugin,7e93f95,7e93f95
walldisplay-plugin,16f60e7,264b084
warnings-plugin,a82c621,a82c621
weblogic-deployer-plugin,69ceaa0,abb3f78
winstone,ddcbbd4,91a5f3b
wix-plugin,ed6ca57,2d8cfdf
ws-cleanup-plugin,62cf1a7,62cf1a7
xcode-plugin,b48316f,5684452
xstream,12bfeb1,f669b43
xtrigger-lib,bcca557,69a0129
xunit-plugin,534c6f3,1b60618
xvfb-plugin,db186f9,1666cff
xvnc-plugin,e891d20,15a2eb1
accurev-plugin,5b05d79,9fea3f1
analysis-core-plugin,ee0137d,04a5bf7
